"date","price"
"2022-03-31","18000.00"
"2022-04-01","18000.00"
"2022-04-02","18000.00"
"2022-04-03","18000.00"
"2022-04-04","18000.00"
"2022-04-05","18000.00"
"2022-04-06","18000.00"
"2022-04-07","19000.00"
"2022-04-08","20000.00"
"2022-04-09","20000.00"
"2022-04-10","20000.00"
"2022-04-11","19000.00"
"2022-04-12","19000.00"
"2022-04-13","19000.00"
"2022-04-14","19000.00"
"2022-04-15","19000.00"
"2022-04-16","19000.00"
"2022-04-17","19000.00"
"2022-04-18","20000.00"
"2022-04-19","20000.00"
"2022-04-20","20000.00"
"2022-04-21","20000.00"
"2022-04-22","22000.00"
"2022-04-23","22000.00"
"2022-04-24","22000.00"
"2022-04-25","24000.00"
"2022-04-26","25000.00"
"2022-04-27","25000.00"
"2022-04-28","25000.00"
"2022-04-29","25000.00"
"2022-04-30","25000.00"
"2022-05-01","26000.00"
"2022-05-03","28000.00"
"2022-05-04","28000.00"
"2022-05-05","27000.00"
"2022-05-06","27000.00"
"2022-05-07","27000.00"
"2022-05-08","27000.00"
"2022-05-09","27000.00"
"2022-05-10","27000.00"
"2022-05-11","27000.00"
"2022-05-12","27000.00"
"2022-05-13","27000.00"
"2022-05-14","28000.00"
"2022-05-15","29000.00"
"2022-05-16","29000.00"
"2022-05-17","30000.00"
"2022-05-18","30000.00"
"2022-05-19","30000.00"
"2022-05-20","30000.00"
"2022-05-21","30000.00"
"2022-05-22","30000.00"
"2022-05-23","30000.00"
"2022-05-24","30000.00"
"2022-05-25","30000.00"
"2022-05-27","29000.00"
"2022-05-30","31000.00"
"2022-05-31","29000.00"
"2022-06-01","29000.00"
"2022-06-02","29000.00"
"2022-06-03","29000.00"
"2022-06-04","29000.00"
"2022-06-05","29000.00"
"2022-06-06","31000.00"
"2022-06-07","33000.00"
"2022-06-08","33000.00"
"2022-06-09","33000.00"
"2022-06-10","34000.00"
"2022-06-13","34000.00"
"2022-06-14","35000.00"
"2022-06-16","35000.00"
"2022-06-17","35000.00"
"2022-06-18","35000.00"
"2022-06-19","37000.00"
"2022-06-20","37000.00"
"2022-06-21","37000.00"
"2022-06-22","38000.00"
"2022-06-23","38000.00"
"2022-06-24","38000.00"
"2022-06-25","38000.00"
"2022-06-26","38000.00"
"2022-06-27","38000.00"
"2022-06-28","40000.00"
"2022-06-29","40000.00"
"2022-06-30","40000.00"
"2022-07-01","40000.00"
"2022-07-02","40000.00"
"2022-07-03","45000.00"
"2022-07-04","45000.00"
"2022-07-05","45000.00"
"2022-07-06","45000.00"
"2022-07-07","48000.00"
"2022-07-08","48000.00"
"2022-07-09","48000.00"
"2022-07-10","48000.00"
"2022-07-11","43000.00"
"2022-07-12","40000.00"
"2022-07-13","40000.00"
"2022-07-14","40000.00"
"2022-07-15","40000.00"
"2022-07-16","40000.00"
"2022-07-17","40000.00"
"2022-07-18","40000.00"
"2022-07-20","25000.00"
"2022-07-21","25000.00"
"2022-07-25","22000.00"
"2022-07-26","22000.00"
"2022-07-27","22000.00"
"2022-07-28","22000.00"
"2022-07-29","22000.00"
"2022-07-30","22000.00"
"2022-07-31","22000.00"
"2022-08-01","22000.00"
"2022-08-02","22000.00"
"2022-08-03","22000.00"
"2022-08-04","24000.00"
"2022-08-05","24000.00"
"2022-08-07","24000.00"
"2022-08-08","23000.00"
"2022-08-09","22000.00"
"2022-08-10","22000.00"
"2022-08-12","22000.00"
"2022-08-13","20000.00"
"2022-08-15","20000.00"
"2022-08-16","20000.00"
"2022-08-17","20000.00"
"2022-08-18","20000.00"
"2022-08-19","20000.00"
"2022-08-20","20000.00"
"2022-08-21","20000.00"
"2022-08-22","20000.00"
"2022-08-23","20000.00"
"2022-08-24","20000.00"
"2022-08-25","20000.00"
"2022-08-26","20000.00"
"2022-08-27","20000.00"
"2022-08-28","20000.00"
"2022-08-29","20000.00"
"2022-08-30","20000.00"
"2022-08-31","21000.00"
"2022-09-01","21000.00"
"2022-09-02","21000.00"
"2022-09-03","21000.00"
"2022-09-04","21000.00"
"2022-09-05","21000.00"
"2022-09-06","21000.00"
"2022-09-08","22000.00"
"2022-09-09","21000.00"
"2022-09-10","21000.00"
"2022-09-12","21000.00"
"2022-09-13","21000.00"
"2022-09-14","21000.00"
"2022-09-15","21000.00"
"2022-09-16","21000.00"
"2022-09-17","21000.00"
"2022-09-18","21000.00"
"2022-09-19","21000.00"
"2022-09-20","21000.00"
"2022-09-21","21000.00"
"2022-09-22","21000.00"
"2022-09-23","21000.00"
"2022-09-26","21000.00"
"2022-09-27","21000.00"
"2022-09-28","21000.00"
